3.1102,28,7100,302.78
2.1283,28,7100,352.78
1.1398,28,7100,402.78
2.9717,28,7600,261.53
2.0596,28,7600,311.53
1.0329,28,7600,361.53
0.030681,28,7600,411.53
1.9998,28,8100,270
1.0513,28,8100,320
0.069193,28,8100,370
-0.96975,28,8100,420
16.029,30,2250,142.3
15.88,30,2250,192.3
14.753,30,2750,157.32
14.487,30,2750,207.32
13.943,30,2750,257.32
13.478,30,3250,171.03
12.963,30,3250,221.03
12.199,30,3250,271.03
12.11,30,3750,183.71
11.402,30,3750,233.71
10.55,30,3750,283.71
10.738,30,4250,195.58
9.8794,30,4250,245.58
9.0463,30,4250,295.58
9.36,30,4750,206.76
8.4513,30,4750,256.76
7.645,30,4750,306.76
8.0425,30,5250,217.37
7.1341,30,5250,267.37
6.3528,30,5250,317.37
6.7903,30,5750,227.49
5.9387,30,5750,277.49
5.1414,30,5750,327.49
4.2177,30,5750,377.49
5.652,30,6250,237.17
4.8376,30,6250,287.17
4.0134,30,6250,337.17
3.1494,30,6250,387.17
4.6037,30,6750,246.48
3.8205,30,6750,296.48
2.9973,30,6750,346.48
2.2111,30,6750,396.48
3.651,30,7250,255.44
2.9017,30,7250,305.44
2.0773,30,7250,355.44
1.379,30,7250,405.44
2.7954,30,7750,264.1
2.0632,30,7750,314.1
1.3007,30,7750,364.1
0.58543,30,7750,414.1
2.0247,30,8250,272.49
1.284,30,8250,322.49
0.6007,30,8250,372.49
-0.12043,30,8250,422.49
1.3265,30,8750,280.62
0.62719,30,8750,330.62
-0.012982,30,8750,380.62
-0.53252,30,8750,430.62
27.503,4,300,51.962
25.077,4,800,84.853
23.552,4,800,134.85
26.304,6,450,63.64
24.076,6,950,92.466
22.651,6,950,142.47
22.169,6,1450,114.24
20.724,6,1450,164.24
25.182,8,600,73.485
23.15,8,1100,99.499
21.742,8,1100,149.5
21.266,8,1600,120
19.907,8,1600,170
19.52,8,2100,137.48
18.233,8,2100,187.48
